Date,LAX - Avg. Daily Miles Driven Per Hour,Marketing_Campaign
09/14/2018,39.81670584,0
09/15/2018,73.07618943,0
09/16/2018,53.20065845,0
09/17/2018,81.14617512,0
09/18/2018,60.96411533,0
09/19/2018,85.07369784,0
09/20/2018,119.7679778,0
09/21/2018,42.3950995,0
09/22/2018,71.27232716,0
09/23/2018,43.53755991,0
09/24/2018,100.0158538,0
09/25/2018,56.92573141,0
09/26/2018,70.0540243,0
09/27/2018,69.88252234,0
09/28/2018,67.86578001,0
09/29/2018,49.66278418,0
09/30/2018,115.2445437,0
10/01/2018,58.6635319,0
10/02/2018,87.12429499,0
10/03/2018,73.39821324,0
10/04/2018,82.57328529,0
10/05/2018,93.62568703,0
10/06/2018,106.4527597,0
10/07/2018,54.00233661,0
10/08/2018,107.4415758,0
10/09/2018,63.49112772,0
10/10/2018,61.88765521,0
10/11/2018,70.1976759,0
10/12/2018,56.40325727,0
10/13/2018,69.37106569,0
10/14/2018,56.79430098,0
10/15/2018,75.24349236,0
10/16/2018,100.8478113,0
10/17/2018,79.12771032,0
10/18/2018,80.71068227,0
10/19/2018,91.8281037,0
10/20/2018,36.35083293,0
10/21/2018,65.25123107,0
10/22/2018,84.64406836,0
10/23/2018,65.625966,0
10/24/2018,94.74307086,0
10/25/2018,86.19499007,0
10/26/2018,86.49076551,0
10/27/2018,57.41274502,0
10/28/2018,50.8386261,0
10/29/2018,51.44184018,0
10/30/2018,47.74245245,0
10/31/2018,100.6010864,0
11/01/2018,56.80136612,0
11/02/2018,64.19637845,0
11/03/2018,68.26225633,0
11/04/2018,63.56140931,0
11/05/2018,56.73580571,0
11/06/2018,94.52983797,0
11/07/2018,105.8814608,0
11/08/2018,73.90847761,0
11/09/2018,48.76981073,0
11/10/2018,60.08249705,0
11/11/2018,62.63340095,0
11/12/2018,52.72075056,0
11/13/2018,73.60424769,0
11/14/2018,58.7494554,0
11/15/2018,81.72218684,0
11/16/2018,36.42480796,0
11/17/2018,58.60571076,0
11/18/2018,102.9133948,0
11/19/2018,57.30530202,0
11/20/2018,67.61629695,0
11/21/2018,103.1291943,0
11/22/2018,98.11284318,1
11/23/2018,74.98258216,1
11/24/2018,122.5002305,1
11/25/2018,44.56088867,1
11/26/2018,41.23154891,1
11/27/2018,54.26807124,1
11/28/2018,70.93783786,1
11/29/2018,66.21788173,1
11/30/2018,90.2146251,1
12/01/2018,8.797302881,1
12/02/2018,7.782942691,1
12/03/2018,9.617658629,1
12/04/2018,6.773817313,1
12/05/2018,9.828140053,1
12/06/2018,1.784188226,1
12/07/2018,6.673834819,1
12/08/2018,7.271578201,1
12/09/2018,8.896667221,1
12/10/2018,9.184962872,1
12/11/2018,7.409462158,1
12/12/2018,8.901214951,1
12/13/2018,10.46829286,1
12/14/2018,10.04337176,1
12/15/2018,6.714138159,1
12/16/2018,9.30316797,1
12/17/2018,7.791100655,1
12/18/2018,8.239731347,1
12/19/2018,5.54874051,1
12/20/2018,6.696915494,1
12/21/2018,6.059584617,1
12/22/2018,6.10373806,1
12/23/2018,8.490675322,1
12/24/2018,10.08598778,1
12/25/2018,8.290710863,1
12/26/2018,9.594910927,1
12/27/2018,8.392103621,1
12/28/2018,91.81455829,1
12/29/2018,76.41566599,1
12/30/2018,110.5658466,0
12/31/2018,134.8218604,0
